NS;SUBSTRATO;SUBSTRATO;QUANTIDADE
70604300;70400202;70374201;54
70741300;70400202;70374201;54
70757300;70408202;E1208925;72
70758300;70408202;E1208923;144
70760300;70400202;E1208923;252
70769300;70408202;E1208925;36
70770300;70408202;E1208923;72
70772300;70400202;E1208923;72
70776300;70400202;E1208923;72
70777300;70408202;E1208925;72
70778300;70408202;E1208923;72
70780300;70400202;E1208923;144
70781300;70408202;E1208925;36
70782300;70400202;E1208923;108
70784300;70408202;E1208923;36
70834300;70400202;E1208923;54
