NS;SUBSTRATO;SUBSTRATO;QUANTIDADE
70444300;70400202;70374201;180
70445300;70400202;70367200;72
70470300;70400202;70374201;36
70604300;70400202;70374201;72
70606300;70408202;70374201;72
70657300;70400202;70367200;72
70658300;70400202;70374201;180
70738300;70408202;70367200;36
70739300;70408202;70374201;36
70740300;70400202;70367200;72
70741300;70400202;70374201;252
70750300;70400202;70374201;72
70752300;70408202;70374201;36
70753300;70408202;E1208925;36
70757300;70408202;E1208925;216
70758300;70408202;E1208923;216
70760300;70400202;E1208923;432
70769300;70408202;E1208925;180
70770300;70408202;E1208923;180
70772300;70400202;E1208923;360
70773300;70408202;E1208925;144
70774300;70408202;E1208923;144
70776300;70400202;E1208923;252
70777300;70408202;E1208925;144
70778300;70408202;E1208923;144
70780300;70400202;E1208923;216
70781300;70408202;E1208925;108
70782300;70400202;E1208923;252
70784300;70408202;E1208923;108
70808300;70408202;E1208923;36
70809300;70408202;E1208925;36
70831300;70408202;E1208925;36
70832300;70408202;E1208923;36
70834300;70400202;E1208923;36
